Model,R²,Adj_R²,MSE,RMSE,MAE,Training_Time
LSTM (Uni),0.408,0.39,113295.2265625,336.5899963378906,254.86000061035156,8.27
Auto-ARIMA,0.2471,0.2303,128452.32,358.4,228.1,
Auto-SARIMA,0.2471,0.2303,128452.32,358.4,228.1,
Ridge Regression,0.101,-0.2163,153374.52,391.63,249.14,
Linear Regression,-0.1277,-0.5257,192390.76,438.62,290.43,
GRU (Multi),-1.7568,-3.2605,527577.32,726.35,611.49,7.81
LSTM (Multi),-1.9962,-3.6304,573378.39,757.22,623.81,5.93
SVR,-2.0066,-3.0677,512928.92,716.19,553.12,0.09
MLP,-3.4548,-5.0271,760000.93,871.78,773.72,2.66
XGBoost,-5.3728,-7.6221,1087224.8,1042.7,861.02,7.54
Random Forest,-6.8411,-9.6086,1337721.82,1156.6,956.43,44.07
