y_true_price,gru_pred_median,gru_pred_lower_90,gru_pred_upper_90,interval_width_90,covered_90
1331.67,1283.5274047851562,1249.5063354492188,1321.8065856933595,72.30025024414067,0
1283.95,1333.26904296875,1296.3751159667968,1363.7150329589842,67.33991699218745,0
1222.49,1194.2138671875,1164.3181762695312,1225.4995910644532,61.18141479492192,1
1816.77,1824.998046875,1779.1843566894531,1867.2093139648437,88.02495727539053,1
909.7,926.1632080078125,903.8503387451171,954.7610534667969,50.91071472167971,1
1341.09,1266.3399047851562,1234.5035705566406,1306.0369201660155,71.53334960937491,0
1853.22,1779.8544311523438,1739.8161987304688,1816.9867858886719,77.17058715820303,0
2326.33,2406.8099365234375,2326.5886840820312,2470.551611328125,143.96292724609384,0
1485.08,1529.1795654296875,1461.5614196777344,1583.6554443359375,122.09402465820312,1
1220.95,1246.848876953125,1214.4622497558594,1283.9314514160155,69.46920166015616,1
1199.05,1180.52392578125,1148.4305908203125,1214.7748107910156,66.34421997070308,1
934.23,946.9860534667969,913.2571655273438,981.4675842285156,68.21041870117188,1
1726.45,1765.8958129882812,1708.8641784667968,1824.3812316894532,115.51705322265639,1
754.6,746.1228942871094,710.4156799316406,787.8456359863281,77.42995605468752,1
1626.03,1631.658203125,1578.9358337402343,1674.5203979492187,95.58456420898438,1
3207.48,3055.3953857421875,2960.947900390625,3134.0375366210938,173.08963623046884,0
1783.97,1781.3255004882812,1736.4649291992187,1819.7184265136718,83.25349731445317,1
939.77,871.98388671875,840.016470336914,900.1269287109375,60.11045837402344,0
1942.9,1958.948486328125,1906.90556640625,2007.254217529297,100.34865112304692,1
1593.91,1630.6085205078125,1589.8586486816407,1677.7038818359374,87.8452331542967,1
1664.45,1723.2894287109375,1665.99453125,1769.2585876464843,103.26405639648442,0
1251.85,1245.0474853515625,1222.1630920410157,1268.0019775390624,45.83888549804669,1
2467.97,2461.153564453125,2404.8061767578124,2519.438916015625,114.63273925781277,1
943.16,873.5718078613281,839.6129150390625,918.2645294189454,78.65161437988286,0
1282.32,1266.3349609375,1227.83193359375,1302.701611328125,74.86967773437505,1
1913.04,1920.7156372070312,1864.6018920898437,1965.6526123046874,101.05072021484375,1
1227.19,1211.0418090820312,1182.898681640625,1238.1587951660156,55.26011352539058,1
888.66,908.5287170410156,882.9117797851562,939.7453887939453,56.83360900878904,1
1342.02,1281.5836791992188,1257.9884521484375,1313.7236083984376,55.735156250000045,0
1470.02,1516.9407958984375,1483.7052612304688,1546.694482421875,62.98922119140616,0
1242.26,1276.5962524414062,1227.9127197265625,1321.8704406738282,93.95772094726567,1
1755.81,1641.1854248046875,1587.831689453125,1681.9450317382812,94.11334228515625,0
1097.37,1121.4998779296875,1064.7681884765625,1174.5103576660156,109.74216918945308,1
1990.22,1958.8964233398438,1909.4694946289062,2002.0071350097655,92.53764038085933,1
1627.59,1611.9154663085938,1557.5713439941405,1654.4473754882813,96.87603149414076,1
1199.91,1193.9199829101562,1137.1299926757813,1242.3399169921875,105.20992431640616,1
1275.82,1268.3949584960938,1242.8750793457032,1296.9656066894531,54.090527343749955,1
1238.53,1258.3062133789062,1230.9868774414062,1287.3781188964845,56.391241455078216,1
1215.39,1231.5095825195312,1196.6307189941406,1265.4297912597656,68.799072265625,1
1181.5,1168.1143188476562,1136.9499206542969,1194.4497985839844,57.4998779296875,1
1336.08,1293.37109375,1263.7450805664062,1320.4902893066405,56.745208740234375,0
1854.54,1924.4606323242188,1867.8574951171875,1970.69892578125,102.8414306640625,0
1192.62,1214.6104736328125,1178.1008911132812,1255.2393798828125,77.13848876953125,1
1202.29,1232.104736328125,1203.4312744140625,1264.185040283203,60.75376586914058,0
1347.1,1295.2407836914062,1257.464825439453,1323.5357727050782,66.07094726562514,0
